2012年家户号,2011-2012全部家庭纯收入,同灶吃饭成员的总人数
140571,7180,2
140573,130000,5
140574,20000,4
140576,1860,3
140578,15840,4
140579,143000,9
140580,15840,2
140581,1000,2
140584,10800,2
140588,200,2
140590,1700,2
140592,1750,2
140593,240,2
140595,300,2
140598,19200,2
140599,100,4
140602,34300,5
140603,23640,2
140606,10410,5
140607,11570,3
140612,35000,2
140614,25200,2
140615,39900,3
140616,27500,4
140622,11780,2
140623,50,2
140624,22000,4
140625,11980,2
140626,48000,4
140628,63000,5
140631,9280,3
140632,10400,4
140633,47900,4
140634,12556,4
140635,200,3
140636,1000,1
140638,48610,4
140639,29330,3
140640,22115,5
140641,6050,5
140642,29820,4
140644,32690,5
140645,69130,4
140646,8340,4
140647,272060,5
140649,52400,3
140650,20000,4
140651,4440,5
140652,43919,4
140653,1300,1
140656,78680,4
140657,16800,1
140658,13300,4
140659,53600,6
140660,53670,3
140661,13451,3
140662,26300,3
140663,83000,6
140664,19400,3
140666,29500,2
140667,64000,8
140668,19660,5
140669,62700,4
140670,84000,5
140671,34100,2
140673,59100,4
140675,81901,4
140676,19040,6
140677,62060,6
140678,4230,9
140679,20300,4
140680,20600,5
140684,28440,3
140687,22258,5
140688,3500,4
140693,63750,4
140694,20000,3
140701,56400,2
140702,20000,3
140703,423200,3
140706,21000,3
140713,48300,3
140714,34200,5
140715,65141,5
140716,38190,2
140719,39000,5
140721,26800,5
140722,500,5
140724,32150,3
140725,33700,2
140726,21870,5
140728,6540,3
140730,7850,2
140732,1800,2
140733,1300,2
140736,6680,4
140740,180,9
140743,2400,2
140745,300,3
140746,22800,2
140748,23200,5
140749,31280,5
140750,38360,6
140752,1000,1
140755,39300,4
140756,2310,2
140760,30300,5
140762,13800,3
140764,1100,2
140766,82190,4
140767,2190,4
140768,20801,2
140771,10100,2
140774,6600,3
140777,51300,8
140779,15300,4
140780,15800,4
140782,67000,6
140784,37870,6
140785,34675,5
140790,2100,4
140791,20800,5
140793,81300,5
140794,10100,3
140796,121820,9
140829,2800,2
140830,42000,4
140831,36200,3
140832,10800,3
140833,30000,4
140835,36520,5
140838,6000,4
140841,1250,4
140842,31000,4
140846,52000,4
140847,15375,4
140849,20000,2
140850,15500,7
140852,1720,4
140853,50960,3
140857,7100,3
140858,46800,6
140860,18000,4
140861,46800,5
140863,32640,1
140864,36000,3
140866,47600,3
140868,80088,5
140870,25400,3
140874,12000,5
140877,81150,5
140882,60000,9
140886,61150,5
141779,1200,4
142906,62330,2
145339,89280,5
145762,60000,2
146483,4300,3
147445,36000,1
150889,8800,6
151708,40000,5
153437,215200,1
159908,40360,3
165234,44800,3
165436,26800,1
165640,132000,3
166468,25400,1
166872,26020,2
168282,39600,4
169375,8000,2
170395,30000,1
170997,154700,5
176346,39200,1
176948,9000,5
178512,21000,3
178956,31000,3
180336,46000,4
182064,14800,3
182424,48000,2
184386,63100,4
184708,360000,3
186255,8090,1
187118,10600,4
188870,6500,2
189621,14580,4
190148,37200,4
191449,134500,2
195861,40000,4
196605,21000,4
200406,21020,2
201551,22000,3
201976,6000,3
204419,30000,1
208098,6450,4
208416,1445,6
209246,49440,1
210012,72840,5
210014,16800,2
210019,10100,1
210021,102080,3
210039,31656,3
210041,88800,2
210043,32000,3
210045,23200,3
210046,85640,3
210047,45300,3
210048,45720,4
210050,78800,4
210051,45600,4
210056,83200,3
210058,26400,2
210063,31528,1
210066,65511,3
210067,18300,5
210068,43275,4
210069,34301,3
210071,7200,1
210073,23010,4
210074,7500,5
210075,31040,4
210076,7905,3
210077,6850,2
210078,12300,4
210079,22200,6
210080,27900,3
210082,18260,4
210084,41301,2
210085,31350,4
210086,10101,3
210088,7300,3
210089,16850,6
210090,41980,1
210091,51325,5
210092,19801,3
210095,17400,4
210097,23050,4
210098,8560,5
210099,8000,5
210100,3360,1
210101,15500,3
210102,19860,6
210103,11800,5
210104,4000,2
210105,4000,3
210106,6500,3
210107,3300,2
210109,9200,2
210110,2500,6
210112,1550,4
210113,500,5
210114,1900,3
210115,3930,5
210116,7900,2
210118,1600,2
210120,2950,3
210122,12800,6
210125,1803,2
210126,7020,7
210127,17001,3
210128,40000,3
210130,54600,6
210132,22410,6
210133,17420,2
210134,43700,4
210135,53500,5
210140,4741,2
210141,68710,5
210147,450,2
210148,67650,5
210149,79270,6
210150,10260,1
210151,14350,4
210152,35765,4
210154,8200,4
210155,61121,5
